Correct Response,Height,RT,Word
1,0.5,356.4152001,2
0,0.3525,456.3612999,0
1,0.3525,524.3100999,2
1,4,449.2922,0
1,0.7075,420.5712999,0
1,2,484.704,2
1,4,588.0356,0
1,5.2925,357.0228001,1
1,0.7075,348.1863,2
1,1.415,396.6086,1
1,0.25,819.4276,1
1,1,484.5762,0
1,5.2925,441.1551999,1
1,5.2925,441.207,1
1,1,402.5363001,1
1,0.25,558.9748,0
1,0.7075,435.8656001,2
1,0.25,370.9639999,2
1,4,347.9607001,2
0,0.3525,460.1816,1
0,0.3525,444.0706,1
1,0.3525,424.6634,2
1,0.5,489.6837001,1
1,2,467.0809,0
1,1.415,502.7705,0
1,0.7075,403.1723,2
1,0.5,613.635,0
1,0.25,456.099,1
1,2,502.8766,3
1,7,604.2623,3
1,7,523.7082,4
1,1,566.0563,3
1,1,503.6813,4
1,1.415,569.4585,4
1,4,588.6126001,3
1,2.8275,492.0126,4
1,0.7075,388.0959,5
1,5.2925,465.6039,3
1,2.8275,465.454,3
1,2.8275,397.8824999,5
1,0.3525,539.3994999,4
1,2,414.5719,3
0,1.415,461.0935,4
1,1.415,383.6841001,4
1,2.8275,656.3507,5
1,1,376.6304,5
0,0.5,627.8389999,3
0,0.5,501.6782999,3
1,0.5,490.254,3
1,0.3525,538.9167,3
1,7,748.8628,4
0,5.2925,480.0956001,4
1,5.2925,385.9618001,5
1,2.8275,665.8346,3
1,7,547.6314,3
1,2,478.2685,5
1,0.5,493.4424999,4
